# 230118-134356
r-4017::step01::sent01::004::CUTRES,RESULT,r-4017::step01::sent01::004
r-4017::step01::sent01::005::CRL,1,r-4017::step01::sent01::004
r-4017::step01::sent01::006::CUTRES,RESULT,r-4017::step01::sent01::006
r-4017::step01::sent01::004::CUTRES,1,r-4017::step01::sent01::006
r-4017::step02::sent01::000::CUTRES,RESULT,r-4017::step02::sent01::000
r-4017::step02::sent01::001::CRL,1,r-4017::step02::sent01::000
r-4017::step02::sent01::003::CUTRES,RESULT,r-4017::step02::sent01::003
r-4017::step02::sent01::003::CUTRES,CUI,r-4017::step02::sent01::005::CRL
r-4017::step02::sent01::000::CUTRES,1,r-4017::step02::sent01::003
r-4017::step02::sent01::008::CUTRES,RESULT,r-4017::step02::sent01::008
r-4017::step01::sent01::006::CUTRES,1,r-4017::step02::sent01::008
r-4017::step01::sent01::006::CUTRES,CUI,r-4017::step02::sent01::010::CRL
r-4017::step02::sent01::003::CUTRES,2,r-4017::step02::sent01::008
r-4017::step04::sent01::000::CUTRES,RESULT,r-4017::step04::sent01::000
r-4017::step02::sent01::008::CUTRES,1,r-4017::step04::sent01::000
r-4017::step04::sent01::002::CRL,2,r-4017::step04::sent01::000
r-4017::step04::sent01::004::CUTRES,RESULT,r-4017::step04::sent01::004
r-4017::step04::sent01::000::CUTRES,1,r-4017::step04::sent01::004
r-4017::step04::sent01::004::CUTRES,1,r-4017::@FINALIZE
r-4017::FINALRES,RESULT,r-4017::@FINALIZE
