# 230108-233737
r-3992::step01::sent01::000::CUTRES,RESULT,r-3992::step01::sent01::000
r-3992::step01::sent01::002::CRL,1,r-3992::step01::sent01::000
r-3992::step01::sent01::004::CRL,2,r-3992::step01::sent01::000
r-3992::step01::sent01::006::CRL,3,r-3992::step01::sent01::000
r-3992::step01::sent01::008::CRL,4,r-3992::step01::sent01::000
r-3992::step01::sent01::010::CRL,5,r-3992::step01::sent01::000
r-3992::step01::sent02::001::CUTRES,RESULT,r-3992::step01::sent02::001
r-3992::step01::sent01::000::CUTRES,1,r-3992::step01::sent02::001
r-3992::step01::sent02::003::CUTRES,RESULT,r-3992::step01::sent02::003
r-3992::step01::sent02::009::CRL,1,r-3992::step01::sent02::003
r-3992::step01::sent02::001::CUTRES,2,r-3992::step01::sent02::003
r-3992::step02::sent01::000::CUTRES,RESULT,r-3992::step02::sent01::000
r-3992::step02::sent01::000::CUTRES,CUI,r-3992::step02::sent01::004::CRL
r-3992::step02::sent01::002::CRL,1,r-3992::step02::sent01::000
r-3992::step03::sent01::000::CUTRES,RESULT,r-3992::step03::sent01::000
r-3992::step03::sent01::000::CUTRES,CUI,r-3992::step03::sent01::003::CRL
r-3992::step01::sent02::003::CUTRES,1,r-3992::step03::sent01::000
r-3992::step01::sent02::003::CUTRES,CUI,r-3992::step03::sent01::001::SRL::0::SRLINGREDIENT
r-3992::step03::sent01::010::CUTRES,RESULT,r-3992::step03::sent01::010
r-3992::step03::sent01::000::CUTRES,1,r-3992::step03::sent01::010
r-3992::step03::sent01::000::CUTRES,CUI,r-3992::step03::sent01::011::SRL::1::SRLINGREDIENT
r-3992::step04::sent01::000::CUTRES,RESULT,r-3992::step04::sent01::000
r-3992::step02::sent01::000::CUTRES,1,r-3992::step04::sent01::000
r-3992::step02::sent01::000::CUTRES,CUI,r-3992::step04::sent01::002::CRL
r-3992::step03::sent01::010::CUTRES,2,r-3992::step04::sent01::000
r-3992::step03::sent01::010::CUTRES,CUI,r-3992::step04::sent01::008::CRL
r-3992::step04::sent01::000::CUTRES,1,r-3992::@FINALIZE
r-3992::FINALRES,RESULT,r-3992::@FINALIZE
